####################################
#### Fichier de traduction OMEGA ###
####################################
# Vous pouvez modifier ce fichier si les traductions par défaut ne conviennent pas, SAUF l'anglais.
# ATTENTION : si modification, alors il peut y avoir des erreurs il faut toujours respecter le nombre de ";" par ligne.
# ATTENTION : Ne pas modifier le 1er mot qui est en anglais
# English;Français;Español;Portugais
#
# ATTENTION : si 2 mots possèdent ne serait-ce qu'un caractère différent (ex : majuscule, un 's' à la fin, un espace..) alors 
# il s'agit de 2 mots différents et donc 2 traductions différentes donc il faut bien traduire les 2 mots dans les langues
# que l'on souhaite.
#
If you add a new TVA, please click on 'Save' button to select it as the default value.;Si une nouvelle TVA a été ajoutée, merci de cliquer sur le bouton sauvegarder pour la voir dans les listes par defaut.;Si usted agrega un nuveo TVA, por favor haga clic ; en el botón 'Guardar' para seleccionarlo como el valor predeterminado; 
File;Fichier;Archivo;
VAT;TVA;IVA;
Crop area;Surface cultivée;Área de cultivo;
Tree Crop area;Surface plantée;Área de cultivo de árboles;
List of animals;Liste des Animaux;Lista de animales;
Calendar;Calendrier;Calendario;
Type;Type;Tipo;
Group;Groupe;Grupo;
Activity Unit;Unité d’Activité;Unidad de actividad;
Farm Unit;Unité Exploitation;Unidad de finca;
Global Unit;Unité Globale;Unidad global;
View;Affichage;Ver;
Unity;unité;Unidad;
'Olympe' view;Affichage 'Olympe';Vista 'Olympe';
'Standard' view;Affichage 'Standard';Vista 'Estandard';
Family;Famille;Familia;
Revenues;Recettes;Ingresos;
Expenses;Dépenses;Gastos;
Others revenues;Autres recettes;Otros ingresos;
Expenses/Incomes;Dépenses/Recettes;Gastos/ingresos netos;
Current Farm result;Résultat pour la ferme en cours;Resultados de la finca actual;
Enable;Activer;Activar;
Disable;Désactiver;Desactivar;
Disable autofill proposal; Désactiver proposition auto;Desactivar relleno automático;
Enable autofill proposal;Activer proposition auto;Activar relleno automático;
GPS Data management;Gestion des données GPS;Manejo de datos GPS;
Manage lines color;Gestion de la couleur des lignes;Manejo lineas de color;
Import GPS points;Importer des points GPS;Importar puntos de GPS;
Manage GPS points;Gérer des points GPS;Manejar puntos GPS;
Load shapefile;Ajouter un shapefile;Cargar shapefile;
Remove shapefile;Supprimer un shapefile;Quitar shapefile;
Filter view;Filtrer les couches;Filtrar vista;
Create shapefile;Créer un shapefile;Crear shapefile;
Create point shapefile;Créer une couche de points;Crear shapefile de puntos;
Create polygone shapefile;Créer une couche polygones;Crear shapefile de polígonos;
Create line shapefile;Créer une couche lignes;Crear shapefile de líneas;
Territory layers;Couches liées au territoire;Capas de territorio;
Activity layers;Couches liées aux activités;Capas de actividad;
Farm layers;Couches liées aux exploitations;Capas de finca;
Color management;Gestion des couleurs ;Manejo del color;
Move map;Déplacer la carte;Mover mapa;
Select layers;Sélectionner des couches;Seleccionar capas;
Zoom in;Agrandir;Agrandar;
Zoom out;Réduire;Disminuir;
Fit to screen;Ajuster à la taille de l'écran;Ajustar a la pantalla;
Cursor into 'zoom in selected area' mode;Curseur en mode 'agrandissement de la carte';Cursor en el modo 'Agrandar en el área seleccionada';
Cursor in 'zoom out mode';Curseur en mode 'rétrécissement de la carte';Cursor en el modo 'Disminuir en el área seleccionada';
Move selected layer to the top;Placer la couche active en premier plan;Mover capa seleccionada de primero;
Move selected layer to the bottom;Placer la couche en dernier plan;Mover la capa seleccionada al final;
Move selected layer up;Déplacer la couche active vers l’avant;Mover la capa seleccionada arriba;
Move selected layer down;Déplacer la couche active vers l’arrière;Mover capa seleccionada abajo;
Territory;territoire;Territorio;
Click to change color;Cliquer pour changer de couleur;Clic para cambiar de color;
Hide all layers;Cacher toutes les couches;Ocultar todos los shapefiles;
Display all layers;Afficher toutes les couches;Mostrar todos los shapefiles;
Creation canceled;Création annulée;Cancelar creación;
activity;activité;Activar;
farm;exploitation;Finca;
Warning, some data has been modified.;Attention, des données ont été modifiées. Que faire ?;Atención, algunos datos han sido modificados;
Save and quit;Sauvegarder et quitter;Guardar y salir;
Quit without saving;Quitter sans sauvegarder;Salir sin guardar;
Crop;Culture;Cultivo;
Phase;Phase;Fase;
Pluriannual;Pluriannuelle;Plurianual;
Perennial;Pérenne;Perenne;
Output;Etat de sortie;Salida;
Procedure;Procédure;Procedimiento;
Classification;Classification des exploitations;Clasificación;
Compare;Comparer;Comparar;
Other;Autre;Otros;
Current;En cours;Actual;
Period;Période;Periodo;
Notes;Notes;Notas;
Herds;Troupeaux;Rebaño;
A Territory regoups several farms and data about villages, forests and others map elements (mountains, rivers...);  Un territoire peut regrouper plusieurs exploitations et des informations sur les villages, forêts et autres éléments cartographiques(rivières, montagne...);Un Territorio agrupa varias fincas y datos sobre aldeas, bosques y otros elementos del mapa (montañas, ríos…);
An Activity may be a crop, an animal breeding, or other elements connected with farmer's activities; Une activité peut être une culture, un élevage ou tout élément impliquant des actions d'un agriculteur;Una actividad puede ser un cultivo, una cría de animales u otros elementos relacionados con las actividades de los agricultores;
A farm may regoup several farmers and consists of a group of activities;Une exploitation agricole peut rassembler plusieurs agriculteurs, et consiste en un ensemble d'activités ;Una finca puede agrupar varios agricultores y consiste en un grupo de actividades ;
System Unit Form;Système d'unités;Sistema de unidades;
Create polygone shapefile;Créer une couche polygone;Crear un shapefile de polígonos;
Activity Unit;Unité activité;Unidades de actividad;
Farm Unit;Unité exploitation;Unidades de finca;
Global Unit;Unité globale;Unidades globales;
Currency;Monnaie;Moneda;
Synthesis;Synthèse;Síntesis;
Revenues Expenses;Recettes Dépenses;Gastos de ingresos;
rec Exp Summary;Rec. Dép Grands postes;Resumen gastos de ingresos;
Quantities;Quantités;Cantidad;
Farm Account;CEG;Cuenta de la finca;
Balance;Bilan;Balance;
Family;Privé;Familia;
Margin;Marge ;Margen
Externalities;Externalites;Externalidades;
Output Forms;Etats de sortie;Formulario de salida;
Finance;Finance;Finanzas;
VAT;TVA;IVA;
Perennial;Pérenne;Perenne;
Area;Surface;Área;
Tree Crops account;Compta pérenne;Cuenta cultivo de árboles;
Stocks;Stocks;Stocks;
Used of;Emploi des charges dans les exploitations;Puestos de trabajo;
Private;Famille;Privado;
Current;En cours;Actual;
Past;Passé;Anterior;
Animals;Animaux;Animales;
Results;Résultats;Resultados;
Comparison;Comparaison;Comparación;
Result for farm :;Résultats pour l'exploitation :;Resultado de finca :;
GPS point name;Nom du point GPS; Nombre del punto GPS;
Latitude;Latitude;Latitud;
Longitude;Longitude;Longitud;
Altitude;Altitude;Altitud;
Date;Date;Fecha;
Shapefile name;Nom de la couche;Nombre del Shapefile;
Import Name;Nom d'import;Nombre de importación;
Import Name;Nom d'import;Nombre de importación;
Cursor in zoom out mode;Curseur en mode 'rétrécissement de la carte';Cursor en modo de alejamiento;
Add shapefile;Ajouter un shapeFile;Agregar shapefile;
select folder to save the file;Selectionner un fichier de sauvegarde;Seleccionar carpeta para guardar el archivo;
Territory map;Elément du territoire;;Mapa de territorio
Shapefile information;Informations liées au shapeFile;Información de shapefile;
Data type information;Type de données;Información tipos de datos;
Shapefile name :;Nom du fichier :;Nombre de shapefile :;
Select the import to load;Sélectionner l'import à charger;Seleccionar la importación para cargar;
Multiple elements?;Plusieurs éléments ?;¿Elementos múltiples?;
Farm;Exploitation agricole;Finca;
Main map;Carte principale;Mapa principal;
Main Map;Carte principale;Mapa principal;
Result for farm :;Résultat pour l'exploitation :;Resultado de finca :;
Tree crop Area;Surface pérenne;Área cultivo de árboles;
List of Animals;Liste des animaux;Listado de animales;
Residual value;Valeur résiduelle;Valor residual;
Depreciation;Amortissement;Depreciación;
Purchase;Achat;Comprar;
Fishing;Pêche;Pescar;
Gathering;Cueillette;Recolección;
pluriannual;pluriannuelle;Plurianual;
Tree;Arbre;Árbol;
Capital gain;Plus value;Excedente;
Capital loss;Moins value;Perdida;
Fixed assets production;Production d'Immo;Producción de activos fijos;
Sell;Vente;Venta;
Long term;Long terme;Largo plazo;
Enable group;Regrouper les items;Activar grupo;
Disable autofill;Désactiver le remplissage automatique;Desactivar respuesta automática;
Generates;Génère;Generar;
Hunting;Chasse;Cacería;
Hazard;Aléa;Peligro;
PRICE;PRIX;PRECIO;
QUANTITY;QUANTITE;CANTIDAD;
With;Avec;Con;
Without;Sans;Sin;
Quit;Quitter;Salir;
Rate;Taux;Tasa;
Default value;Valeur par défaut;Valor por defecto;
Immo;Immo;Activo fijo;
Template calendars;Modèle de calendrier;Modelos de calendarios;
Months;Mois;Meses;
Day;Jour;Día;
Days;Jours;Días;
Weeks;Semaines;Semanas;
Year;Année;Año;
Years;Années;Años;
Week;Semaine;Semana;
Copy data to the bottom;Copier lacellule vers le bas;Copia los datos al final;
Beginning;Début;Iniciando;
End;Fin;Fin;
Hours per day;Heures par jour;Horas por día;
% Available;% disponible;% disponible;
Usefull days;Jours utiles;Días laborales;
Usefull hours;Heures utiles;Horas hábiles;
Max;Max;Máx;
Min;Min;Mín;
Print;Imprimer;Imprimir;
Export;Exporter;Exportar;
Origin;Origine;Origen;
VAT;TVA;IVA;
Stock Value;Valeur d’Inventaire;Valor de Inventario;
Variants;Variantes;Variantes;
Data;Données;Datos;
Cropping plan;Assollement;Plan de siembra;
Long term;Long Terme;Largo plazo;
Short term;Court Terme;Corto plazo;
Overdraft;Occ;Sobregiro;
Grants;Subventions;Subsidios;
Investment;Placement;Inversión;
Global;Global;Global;
Balance;Solde;Balance;
Added Balance;solde cumulé;Balance agregado;
BALANCE;SOLDE;BALANCE;
ADDED BALANCE;SOLDE CUMULE;BALANCE AGREGADO;
MARGIN;MARGE;MARGEN;
TOTAL;TOTAL;TOTAL;
Total product Income;Total des revenus produits;Total Ingresos del producto;
Total structural cost;Total des Charges de structure;Total Costos estructurales ;
Total Misc expenses;Total des Dépenses diverses;Total Gastos varios;
Total Misc incomes;Total des Recettes diverses;Total Ingresos varios;
Total Family expenses;Total des Dépenses Familiales;Total gastos familiares;;
Total Family incomes;Total des Recettes Familiales;Total ingresos familiares;
Dictionary;Dictionnaire;Diccionario;
Key word;Mot clé;Palabras clave;
Save the shapefile on this dataset;Sauvegarder le fichier shapefile dans le jeu de données courant;Guardar el shapefile en este dataset;
OR;OU;O;
Path to save the new shapefile;Dossier où sauvegarder le shapefile;Ruta para guardar el nuevo shapefile;
Import management;Gestion de l'import;Gestión de importaciones;
Directory to export;Dossier où exporter;Directorio de exportación;
Import from GPX File;Importer depuis un fichier GPX;Importar desde archivos GPX;
Import Selected points;Importer les points sélectionnés;Importar puntos seleccionados;
Font;Police;Fuente;
display;visualisation;Vista;
No. workers;Nb travailleurs;No. de trabajadores;
This farm has no activity on this calendar, no graph to load;Cette exploitation n'a pas d'activité sur ce calendrier. Pas de graphique à afficher;Esta finca no tiene actividad en este calendario, no hay gráfico para cargar;
These units are not consistents, please modify your choice.;Cette combinaison d'unité n'existe pas, merci de la créer ou de modifier votre choix;Estas unidades no son consistentes, por favor modifique su elección;;
Error,Please reselect the row to duplicate;Erreur, Merci de ne re-sélectionner la ligne à dupliquer;Error, por favor vuelva a seleccionar la fila para duplicar;
Data has been modified but not saved, do you really want to exit ?;Données non enregistées, voulez-vous vraiment quitter ?;Los datos han sido modificados pero no guardados, ¿usted realmente desea salir ?;
An item with this name already exists. It may generate some errors on reports or calculs. Do you want to continue ?; Un item avec le même nom existe déjà. Cela peut générer des erreurs de calculs. Voulez-vous continuer ?; Ya existe un item con este nombre. Esto puede generar algunos errores en informes o cálculos. ¿Desea continuar?;
Please, insert a whole number;Merci de saisir un nombre entier;Por favor, introduzca un número entero; 
Warning, records have already been saved for this period.;Attention des enregistrements ont déja été sauvegardés pour cette période.;Advertencia, los registros ya se han guardado para este período;
Do you want to replace these records with the template :; Voulez vous remplacer ces enregistrements par le modèle :;¿Quiere reemplazar estos registros con la plantilla? ;
 record(s) deleted.;; enregistrement(s) supprimé(s).;registro(s) borrados.;
Please select only 1 row to duplicate.;Merci de ne sélectionner qu'une ligne à dupliquer.; Por favor seleccione solo 1 fila para duplicar.;
Error while copying data. Please, check the log file for more information.;Erreur durant la création de la variante, vérifier le fichier log pour plus d'information;Error al copiar los datos. Por favor, revise el archivo de registro para más información;
Error while saving data;Erreur durant la sauvegarde;Error al guardar los datos;
Error while opening file.;Erreur durant l'ouverture.;Error al abrir el archivo;
Error while creating file : ;Erreur durant la création du fichier :;Error al crear el archivo :;
This activity has a calendar, do you want to replace it by the one selected ?;Cette culture a déjà un calendrier, voulez-vous le remplacer par celui sélectionné ?;Esta actividad tiene un calendario, ¿Quiere reemplazarlo por el seleccionado?;
This activity does not have any work calendar.;Cette activité n'a pas de calendrier.;Esta actividad no tiene ningún calendario de trabajo;
Impossible to find OMEGA.xml file on the directory;Fichier OMEGA.xml non trouvé dans le dossier;Imposible encontrar el archivo OMEGA.xml en el directorio;
Please choose an item to export;Merci de sélectionner un item à exporter;Por favor elija un item para exportar;
Please load a shapefile;Merci de charger un shapefile;Por favor cargue un shapefile;
This type already exists;Ce type existe déjà;Este tipo ya existe;
Error during the creation of the shapefile : ; Erreur durant la création du shapefile : ;Error en la creación del shapefile : ;
Creation canceled;Création annulée;Creación cancelada;
Import has less than 2 points, creation of line impossible;L'import contient moins de 2 points, impossible de générer une ligne.; La importación tiene menos de 2 puntos, no se puede crear una línea;
Import has less thant 3 points, creation of polygone impossible;L'import contient moins de 3 points, impossible de générer un polygone.;La importación tiene menos de 3 puntos, no se puede crear u polígono;
Export successfully done;Export terminé;Exportado con éxito;
The file;Le fichier;El archivo;
.cvs exists in the directory;.csv existe déjà dans le dossier;.cvs existe en el directorio;
Do you want to replace the old file by a new one ?;Voulez-vous remplacer l'ancien fichier par ce nouveau ?;¿Desea reemplazar el archivo antiguo por uno nuevo?;
This xml file is incompatible;Ce fichier xml est incompatible;Este archivo xml es incompatible;
This gpx file is empty;Ce fichier xml est vide de points;Este archivo gpx está vacío;
This gpx file is incompatible;Ce fichier gpx est incompatible;Este archivo gpx es incompatible;
This import already exists. Please choose another name. Importation canceled;Cet Import existe déjà, merci de donner un autre nom d'import. Importation annulée.;Esta importación ya existe. Por favor, elija otro nombre. Importación cancelada;
Operational costs;Charges opérationnelles;;
Structrural costs;Charges de structures;Costos fijos;
Unity activity;Unité activité;;
Unity farm;Unité exploitation;;
Unity global;Unité globale;;
Miscellaneous;Divers;;
Definition;Définition;;
Production;Production;;
Operational;Opérationnelles;;
Structural,structurelles;;
Development :;Dévellopement :;;
Version :;Version :;;
Institutions :;Partenaires :;;
Successfully saved;Sauvegarde terminée;Guardado con éxito
If the import contains a couple of lines or a couple of polygone in the same .gpx file, check yes.;Si l'import contient plusieurs lignes ou plusieurs polygones, sélectionner Oui.;;
Save the shapefile on this dataset;Sauvegarder le shapefile dans le jeu de données;;
Path to save the new shapefile;Répertoire pour sauvegarder le nouveau shapefile;;
